iter	Logloss
0	0.6874753344
1	0.6819833269
2	0.6757544528
3	0.6706565801
4	0.66623739
5	0.6618810268
6	0.6564664743
7	0.6519643303
8	0.6477230306
9	0.6433940365
10	0.6390016924
11	0.6356716436
12	0.6323462322
13	0.6281463636
14	0.6244870086
15	0.6198251921
16	0.6159884102
17	0.6109663085
18	0.6062597733
19	0.6023919967
20	0.5983079571
21	0.595009878
22	0.5930366081
23	0.5892280567
24	0.5848431213
25	0.5816689892
26	0.5787180143
27	0.5754296187
28	0.5733886875
29	0.5696961861
30	0.5660693096
31	0.5625112089
32	0.5588353151
33	0.555702915
34	0.5531365624
35	0.5508017727
36	0.5480453385
37	0.5443076546
38	0.5409274105
39	0.538049725
40	0.5350831517
41	0.532806729
42	0.5297319685
43	0.527741925
44	0.5251404972
45	0.5225924946
46	0.5203312866
47	0.5178644424
48	0.5149527961
49	0.5125328546
50	0.5099022334
51	0.5076752397
52	0.5049823432
53	0.5026845296
54	0.4996762733
55	0.4967343416
56	0.4938281329
57	0.4915927961
58	0.4893375107
59	0.4873747437
60	0.4849059356
61	0.4836039289
62	0.4813528251
63	0.4794829223
64	0.4777720623
65	0.475703915
66	0.4733926659
67	0.4707828509
68	0.4688264071
69	0.4670769442
70	0.4646936216
71	0.4627107025
72	0.4608530241
73	0.458676665
74	0.4569986584
75	0.4556042891
76	0.4537122038
77	0.4519723259
78	0.4501443275
79	0.4478952371
80	0.445394331
81	0.4437677906
82	0.4423729223
83	0.4405669308
84	0.4390184916
85	0.4373978628
86	0.4355095845
87	0.4338448049
88	0.4323423828
89	0.431032185
90	0.4292734053
91	0.4273304991
92	0.425251901
93	0.4231206814
94	0.420927751
95	0.4193723834
96	0.4172779565
97	0.4149949493
98	0.4127934652
99	0.4109364858
100	0.4101303762
101	0.4092778476
102	0.4081299499
103	0.4067666556
104	0.4051321822
105	0.4036979453
106	0.4023673609
107	0.4006527247
108	0.3993542082
109	0.3980500414
110	0.3968349078
111	0.3952071515
112	0.3934709452
113	0.391622503
114	0.3905840764
115	0.3895594366
116	0.3880232964
117	0.3865924709
118	0.3849316876
119	0.3835454673
120	0.3817623079
121	0.3801252559
122	0.3780393971
123	0.3770272401
124	0.3761437838
125	0.3751845061
126	0.3740166326
127	0.3726026783
128	0.3712516986
129	0.3702056954
130	0.368752466
131	0.3677883987
132	0.3663861868
133	0.3651099268
134	0.3632405569
135	0.3620428579
136	0.3605323017
137	0.359128958
138	0.3580577814
139	0.3566883423
140	0.3552579506
141	0.3543343053
142	0.3533002087
143	0.3522734968
144	0.3513040908
145	0.3504718315
146	0.3492798376
147	0.3480454263
148	0.3471844779
149	0.346071997
150	0.3448969461
151	0.3437430866
152	0.3428049861
153	0.3416489172
154	0.3406929199
155	0.3392125363
156	0.3384155674
157	0.3377010661
158	0.3367992537
159	0.3355046854
160	0.3344140492
161	0.3332670162
162	0.3323249323
163	0.3309245226
164	0.3300654127
165	0.3290671776
166	0.3280673296
167	0.326992846
168	0.3260046107
169	0.3250159736
170	0.3236794831
171	0.3228757633
172	0.3220669241
173	0.3212551423
174	0.3205116499
175	0.3198817265
176	0.3189743407
177	0.3181964815
178	0.317339755
179	0.3162776487
180	0.3152340098
181	0.3142800928
182	0.3134856924
183	0.3126609313
184	0.3114206894
185	0.3105596006
186	0.3097913737
187	0.3092647067
188	0.3085147857
189	0.307718293
190	0.306633366
191	0.3053463271
192	0.304674189
193	0.3037884369
194	0.3027584868
195	0.3020761248
196	0.3012350149
197	0.2997502995
198	0.2987939761
199	0.2979467753
200	0.2973226955
201	0.2965908751
202	0.2953892511
203	0.2947602572
204	0.2937910783
205	0.2931758113
206	0.2926020187
207	0.2917042756
208	0.2907356193
209	0.2899936718
210	0.2888888723
211	0.2880264236
212	0.2875274587
213	0.2871375484
214	0.2862846541
215	0.2853904158
216	0.2846114689
217	0.2839140582
218	0.2829562587
219	0.2823683134
220	0.2816638986
221	0.2809997978
222	0.2803562641
223	0.2795736592
224	0.2786381822
225	0.2774547927
226	0.2765612004
227	0.2757418283
228	0.2750367386
229	0.2740978792
230	0.2734994192
231	0.2729020868
232	0.2723608668
233	0.2712702497
234	0.2704486043
235	0.2692614468
236	0.2684637447
237	0.2678838925
238	0.2671738954
239	0.266570481
240	0.2659572301
241	0.2653198048
242	0.2646194778
243	0.2640387976
244	0.2634011995
245	0.2626616004
246	0.2618452004
247	0.2610403474
248	0.2603983915
249	0.2596879953
250	0.2590008763
251	0.2582840398
252	0.2578457103
253	0.2572396618
254	0.2564980455
255	0.2559780342
256	0.255453651
257	0.2547392156
258	0.2542036901
259	0.2535465554
260	0.2527765648
261	0.252147125
262	0.2513853529
263	0.2508443857
264	0.2501000302
265	0.2497216521
266	0.2491492136
267	0.2483966791
268	0.2478064928
269	0.2470476895
270	0.246638957
271	0.2460330514
272	0.2454011304
273	0.2446456994
274	0.2440879225
275	0.2435015332
276	0.2429594965
277	0.2426420814
278	0.2419932676
279	0.2413364402
280	0.2406963278
281	0.2402680926
282	0.2398012108
283	0.238965388
284	0.2381714357
285	0.23761361
286	0.2367658012
287	0.2361607317
288	0.235727235
